"region","year","age_first","age_last","coverage","doses","targeting"
"NGA",1990,0,0,0.330851516691773,NA,"random"
"NGA",1991,0,0,0.318115561365852,NA,"random"
"NGA",1992,0,0,0.306246269268016,NA,"random"
"NGA",1993,0,0,0.294978405703208,NA,"random"
"NGA",1994,0,0,0.284796259862012,NA,"random"
"NGA",1995,0,0,0.274820564301547,NA,"random"
"NGA",1996,0,0,0.264624124711267,NA,"random"
"NGA",1997,0,0,0.254875008539285,NA,"random"
"NGA",1998,0,0,0.245546747964556,NA,"random"
"NGA",1999,0,0,0.236618582365642,NA,"random"
"NGA",2000,0,0,0.228025231782529,NA,"random"
"NGA",2001,0,0,0.21913782142269,NA,"random"
"NGA",2002,0,0,0.210651059764297,NA,"random"
"NGA",2003,0,0,0.20253629286258,NA,"random"
"NGA",2004,0,0,0.194733297907856,NA,"random"
"NGA",2005,0,0,0.195137611550441,NA,"random"
"NGA",2006,0,0,0.200609291048233,NA,"random"
"NGA",2007,0,0,0.208905458356397,NA,"random"
"NGA",2008,0,0,0.220281502376937,NA,"random"
"NGA",2009,0,0,0.229741885342625,NA,"random"
"NGA",2010,0,0,0.245894557008263,NA,"random"
"NGA",2011,0,0,0.268577871221382,NA,"random"
"NGA",2012,0,0,0.28491655406974,NA,"random"
"NGA",2013,0,0,0.300958901225612,NA,"random"
